title, id, link, display, culture, type,medium simple,medium detail, medium, date, origin, link2, topic,animals, period
Six groups of fighting animals,edanmdm-fsg_F1907.581,https://asia.si.edu/object/F1907.581/,No,Himalayan peoples%South Asians,Painting%,paper,ink,Ink on paper,18th century,India,https://asia.si.edu/object/F1907.581/,South Asian and Himalayan Art%Cats%Art%Animals%Mughal dynasty (1526 - 1858)%Antelope%,"antelope, leopard,lion",Mughal dynasty
Support in the form of a bear,edanmdm-fsg_F1919.64,https://asia.si.edu/object/F1919.64/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with gilding,Bronze with gilding% turquoise inlay% and red pigment (?),206 BCE-220 CE possibly 1st century CE,China,https://asia.si.edu/object/F1919.64/,Gilding%Art%Animals%Sculpture%Chinese Art%Inlay%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1919.77,https://asia.si.edu/object/F1919.77/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1919.77/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1919.78,https://asia.si.edu/object/F1919.78/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1919.78/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament with bear,edanmdm-fsg_F1913.101,https://asia.si.edu/object/F1913.101/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1913.101/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament with bear,edanmdm-fsg_F1913.188,https://asia.si.edu/object/F1913.188/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1913.188/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of bear,edanmdm-fsg_F1915.40,https://asia.si.edu/object/F1915.40/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.40/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Possibly Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.41,https://asia.si.edu/object/F1915.41/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.41/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.74,https://asia.si.edu/object/F1915.74/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with inlay,Bronze with gilding and turquoise inlay,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.74/,Gilding%Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%Western Han dynasty (206 BCE - 9 CE)%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.140,https://asia.si.edu/object/F1915.140/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.140/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.141,https://asia.si.edu/object/F1915.141/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.141/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.151,https://asia.si.edu/object/F1915.151/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.151/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.152,https://asia.si.edu/object/F1915.152/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.152/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1915.160,https://asia.si.edu/object/F1915.160/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.160/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament in the form of a bear,edanmdm-fsg_F1915.161,https://asia.si.edu/object/F1915.161/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.161/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament with a bear head,edanmdm-fsg_F1915.205,https://asia.si.edu/object/F1915.205/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.205/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament in the form of a bear,edanmdm-fsg_F1916.25,https://asia.si.edu/object/F1916.25/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.25/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament in the form of a bear,edanmdm-fsg_F1916.26,https://asia.si.edu/object/F1916.26/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.26/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1916.27,https://asia.si.edu/object/F1916.27/,No,Chinese,Sculpture%Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.27/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament in the form of a bear,edanmdm-fsg_F1916.215,https://asia.si.edu/object/F1916.215/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.215/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament in the form of a bear,edanmdm-fsg_F1916.216,https://asia.si.edu/object/F1916.216/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.216/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament in the form of a bear,edanmdm-fsg_F1916.307,https://asia.si.edu/object/F1916.307/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.307/,Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Support in the form of a bear,edanmdm-fsg_F1918.50,https://asia.si.edu/object/F1918.50/,No,Chinese,Metalwork%Furniture and Furnishing%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1918.50/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
Ornament with a bear,edanmdm-fsg_F1918.175,https://asia.si.edu/object/F1918.175/,No,Chinese,Metalwork%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1918.175/,Gilding%Art%Animals%Sculpture%Chinese Art%Bears%Han dynasty (206 BCE - 220 CE)%,bear,Han dynasty
A raja hunting wild boars% design for a scabbard,edanmdm-fsg_S2018.1.37,https://asia.si.edu/object/S2018.1.37/,No,Himalayan peoples%South Asians,Painting%,paper,watercolor,Opaque watercolor on paper,ca. 1750-1760,Kota% Rajasthan state% India,https://asia.si.edu/object/S2018.1.37/,South Asian and Himalayan Art%Art%Animals%Hunting%Catherine and Ralph Benkaim Collection%Bears%,bear,
Fragment of a bowl with bird design,edanmdm-fsg_FSC-P-4784,https://asia.si.edu/object/FSC-P-4784/,No,Muslims,Ceramic%Vessel%,ceramic,stone paste,Stone-paste panted with luster,early 13th century,Iran,https://asia.si.edu/object/FSC-P-4784/,Art%Animals%Arts of the Islamic World%Birds%Saljuq period (1037 - 1300)%,bird,Saljuq period
Fragment of a rod for slicing,edanmdm-fsg_F1909.505,https://asia.si.edu/object/F1909.505/,No,Egyptians,Glass%,glass,glass,Glass,305 BCE-14 CE,Egypt,https://asia.si.edu/object/F1909.505/,Art%Animals%Mosaic glass%Ptolemaic Dynasty (305 - 30 BCE)%Birds%Ancient Egyptian Art%Roman Period (30 BCE - 395 CE)%,bird,Ptolemaic Dynasty to Roman Period
Fragment of a rod for slicing,edanmdm-fsg_F1909.509,https://asia.si.edu/object/F1909.509/,No,Egyptians,Glass%,glass,glass,Glass,305 BCE-14 CE,Egypt,https://asia.si.edu/object/F1909.509/,Art%Animals%Mosaic glass%Ptolemaic Dynasty (305 - 30 BCE)%Birds%Ancient Egyptian Art%Roman Period (30 BCE - 395 CE)%,bird,Ptolemaic Dynasty or Roman Period
Disk (<em>bi</em> 璧) with incised glyph,edanmdm-fsg_F1917.346,https://asia.si.edu/object/F1917.346/,Yes,Chinese%Liangzhu culture,Jade%Ceremonial Object%,jade,jade,Jade (nephrite),ca. 3300-2250 BCE,Lake Tai region% China,https://asia.si.edu/object/F1917.346/,Art%Animals%Inscriptions%Late Neolithic period (ca. 5000 - ca. 1700 BCE)%Chinese Art%Birds%Nephrite%,bird,Late Neolithic period
Pendant in form of a feline-dragon,edanmdm-fsg_F1932.40,https://asia.si.edu/object/F1932.40/,No,Chinese,Jade%Jewelry and Ornament%,jade,jade,Jade (nephrite),475-221 BCE,Probably Jincun% Henan province% China,https://asia.si.edu/object/F1932.40/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Chinese Art%Carving%Birds%Nephrite%Warring States period (475 - 221 BCE)%,bird,Eastern Zhou dynasty
Straight chisel (<em>gui</em>圭) with face and bird,edanmdm-fsg_F1915.87,https://asia.si.edu/object/F1915.87/,Yes,Longshan culture%Chinese,Jade%Ceremonial Object%,jade,jade,Jade (nephrite),ca. 3000-ca. 1700 BCE,China,https://asia.si.edu/object/F1915.87/,Art%Animals%Late Neolithic period (ca. 5000 - ca. 1700 BCE)%Chinese Art%Birds%Nephrite%,bird,Late Neolithic period
Dagger-axe (<em>ge</em> 戈) with bird% fragment reworked,edanmdm-fsg_F1916.149,https://asia.si.edu/object/F1916.149/,No,Chinese,Jade%Jewelry and Ornament%,jade,jade,Jade (nephrite),ca. 1300-ca. 1050 BCE,Anyang% probably Henan province% China,https://asia.si.edu/object/F1916.149/,Art%Animals%Chinese Art%Carving%Anyang period% Late Shang dynasty (ca. 1300 - 1050 BCE)%Birds%Nephrite%,bird,Late Shang dynasty
Disk (<em>bi</em> 璧) with incised glyph,edanmdm-fsg_F1917.79,https://asia.si.edu/object/F1917.79/,Yes,Chinese%Liangzhu culture,Jade%Ceremonial Object%,jade,jade,Jade (nephrite),ca. 3300-2250 BCE,Lake Tai region% China,https://asia.si.edu/object/F1917.79/,Art%Animals%Inscriptions%Late Neolithic period (ca. 5000 - ca. 1700 BCE)%Chinese Art%Birds%Nephrite%,bird,Late Neolithic period
Disk (<em>bi</em> 璧) with incised glyph and decorated edge,edanmdm-fsg_F1917.348,https://asia.si.edu/object/F1917.348/,Yes,Chinese%Liangzhu culture,Jade%Ceremonial Object%,jade,jade,Jade (nephrite),ca. 3300-2250 BCE,Lake Tai region% China,https://asia.si.edu/object/F1917.348/,Art%Animals%Inscriptions%Late Neolithic period (ca. 5000 - ca. 1700 BCE)%Chinese Art%Birds%Nephrite%,bird,Late Neolithic period
Bracelet with incised glyphs,edanmdm-fsg_F1917.385,https://asia.si.edu/object/F1917.385/,Yes,Chinese%Liangzhu culture,Jade%Jewelry and Ornament%,jade,jade,Jade (nephrite),ca. 3300-2250 BCE,Lake Tai region% China,https://asia.si.edu/object/F1917.385/,Art%Animals%Inscriptions%Late Neolithic period (ca. 5000 - ca. 1700 BCE)%Moon%Chinese Art%Carving%Outer space%Birds%Nephrite%,bird,Late Neolithic period
Pendant in the form of a bird,edanmdm-fsg_S1987.559,https://asia.si.edu/object/S1987.559/,No,Chinese,Jade%Jewelry and Ornament%,jade,jade,Jade (nephrite),ca. 1300-ca. 1050 BCE,Anyang% probably Henan province% China,https://asia.si.edu/object/S1987.559/,Art%Animals%Chinese Art%Carving%Anyang period% Late Shang dynasty (ca. 1300 - 1050 BCE)%Birds%Nephrite%WWII-era provenance%,bird,Late Shang dynasty
Ritual wine warmer (<em>jia</em>) with taotie and birds,edanmdm-fsg_F1907.37,https://asia.si.edu/object/F1907.37/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,ca. 1400-1250 BCE,Yangzi River Valley% China,https://asia.si.edu/object/F1907.37/,Art%Animals%Sculpture%Chinese Art%Anyang period% Late Shang dynasty (ca. 1300 - 1050 BCE)%Birds%Taotie%Masks%,bird,Late Shang dynasty
Ornament,edanmdm-fsg_F1917.265,https://asia.si.edu/object/F1917.265/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1917.265/,Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Finial in the form of a bird head,edanmdm-fsg_F1917.267,https://asia.si.edu/object/F1917.267/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,Possibly 6th-5th century BCE,China,https://asia.si.edu/object/F1917.267/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Birds%,bird,Eastern Zhou dynasty
Finial in the form of a bird,edanmdm-fsg_F1917.324,https://asia.si.edu/object/F1917.324/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1917.324/,Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Ritual wine vesssel (<em>hu</em>) with bird-shaped cover,edanmdm-fsg_F1911.46a-b,https://asia.si.edu/object/F1911.46a-b/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,8th century BCE,China,https://asia.si.edu/object/F1911.46a-b/,Wine and wine making%Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Birds%,bird,Eastern Zhou dynasty
Ritual vessel (<em>huo</em>) with bird stopper,edanmdm-fsg_F1911.47a-b,https://asia.si.edu/object/F1911.47a-b/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,8th century BCE,China,https://asia.si.edu/object/F1911.47a-b/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Chinese Art%Birds%,bird,Eastern Zhou dynasty
Ritual vessel (<em>huo</em>) in the form of a bird,edanmdm-fsg_F1911.630a-d,https://asia.si.edu/object/F1911.630a-d/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,3rd century BCE,China,https://asia.si.edu/object/F1911.630a-d/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Men%Western Han dynasty (206 BCE - 9 CE)%Birds%Incising%Dragon%,bird,Eastern Zhou or Western Han dynasty
Ritual vessel (<em>pou</em>) with cover,edanmdm-fsg_F1913.30a-b,https://asia.si.edu/object/F1913.30a-b/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,12th-11th century BCE,China,https://asia.si.edu/object/F1913.30a-b/,Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Sculpture%Chinese Art%Birds%Shang dynasty (ca. 1600 - ca. 1050 BCE)%,bird,Shang or Western Zhou dynasty
Ornament in the form of two birds,edanmdm-fsg_F1913.89,https://asia.si.edu/object/F1913.89/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1913.89/,Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1913.112,https://asia.si.edu/object/F1913.112/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1913.112/,Art%Animals%Rams%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Finial in the form of a bird,edanmdm-fsg_F1915.43,https://asia.si.edu/object/F1915.43/,No,Chinese,Metalwork%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.43/,Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Garment hook (<em>daigou</em>) in the form of a bird,edanmdm-fsg_F1915.159,https://asia.si.edu/object/F1915.159/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.159/,Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1915.178,https://asia.si.edu/object/F1915.178/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,3rd century BCE,China,https://asia.si.edu/object/F1915.178/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Western Han dynasty (206 BCE - 9 CE)%Birds%,bird,Eastern Zhou to Western Han dynasty
Garment hook (<em>gou</em>),edanmdm-fsg_F1916.262,https://asia.si.edu/object/F1916.262/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.262/,Gilding%Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Mirror (<em>jian</em>),edanmdm-fsg_F1916.330,https://asia.si.edu/object/F1916.330/,No,Chinese,Metalwork%Mirror%,metal,lead,Lead,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.330/,Art%Animals%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Han dynasty
Spearhead in the form of a bird head,edanmdm-fsg_F1916.450,https://asia.si.edu/object/F1916.450/,No,Chinese,Metalwork%Weapon and Armament%,metal,bronze,Bronze,possibly 5th century BCE,China,https://asia.si.edu/object/F1916.450/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Birds%Han dynasty (206 BCE - 220 CE)%,bird,Eastern Zhou to Han dynasty
Ritual wine cup (<em>zhi</em>) with birds,edanmdm-fsg_F1919.6,https://asia.si.edu/object/F1919.6/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,10th century BCE,China,https://asia.si.edu/object/F1919.6/,Wine and wine making%Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Inscriptions%Sculpture%Chinese Art%Birds%,bird,Western Zhou dynasty
Canopy fitting or finial,edanmdm-fsg_F1979.23,https://asia.si.edu/object/F1979.23/,No,Chinese,Metalwork%Tool and Equipment%,metal,bronze,Bronze,5th-4th century BCE,China,https://asia.si.edu/object/F1979.23/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Birds%,bird,Eastern Zhou dynasty
Lidded ritual vessel (hu) with birds and snake,edanmdm-fsg_S2012.9.572a-b,https://asia.si.edu/object/S2012.9.572a-b/,No,Chinese,Metalwork%Ceremonial Object%,metal,bronze,Bronze,ca. 1300-1200 BCE,China,https://asia.si.edu/object/S2012.9.572a-b/,Art%Animals%Sculpture%Chinese Art%Anyang period% Late Shang dynasty (ca. 1300 - 1050 BCE)%Birds%Snakes%Paul Singer collection%Hu%,bird,Late Shang dynasty
"Birds at Baran, possibly from the Babur-nama",edanmdm-fsg_F1907.611,https://asia.si.edu/object/F1907.611/,No,"Himalayan peoples, South Asians",Painting,paper,color,Color and gold on paper,late 16th century,India,https://asia.si.edu/object/F1907.611/,South Asian and Himalayan Art%Art%Animals%Mughal dynasty (1526 - 1858)%Birds%,bird,Mughal dynasty
An Illustration to <em>The Major's Daughter</em>,edanmdm-fsg_F1906.102,https://asia.si.edu/object/F1906.102/,No,Americans,Print%,paper,wood engraving,Wood engraving on paper,1862,United States,https://asia.si.edu/object/F1906.102/,Boats and boating%Art%Animals%American Art%Illustration%Birds%Children%Woman%,bird,
Turkeys,edanmdm-fsg_F1887.6,https://asia.si.edu/object/F1887.6/,No,Americans,Print%,paper,etching,Etching on paper,1879-1880,United States,https://asia.si.edu/object/F1887.6/,Art%Animals%American Art%Birds%Etching%,bird,
St. Ives: Sunset,edanmdm-fsg_F1905.116a-c,https://asia.si.edu/object/F1905.116a-c/,No,Americans,Painting%,paper,watercolor,Watercolor on paper,1883-1884,United States,https://asia.si.edu/object/F1905.116a-c/,Water%Art%Animals%American Art%Birds%,bird,
Raja Mandhata as a musical mode,edanmdm-fsg_F2017.13.3,https://asia.si.edu/object/F2017.13.3/,No,Himalayan peoples%South Asians,Painting%,paper,watercolor,Opaque watercolor on paper,ca. 1690,Nurpur% Himachal Pradesh state% India,https://asia.si.edu/object/F2017.13.3/,South Asian and Himalayan Art%Art%Animals%Catherine and Ralph Benkaim Collection%Men%Portraits%Birds%,bird,
Tapestry: bamboos% flowers% birds% and insects,edanmdm-fsg_F1919.133,https://asia.si.edu/object/F1919.133/,No,Chinese,Furniture and Furnishing%Costume and Textile%,silk,color,Hanging scroll; color on silk,1575-1725,China,https://asia.si.edu/object/F1919.133/,Art%Garden rock%Chinese Art%Birds%Flowers%Fungus-of-immortality%Painted%Animals%Peony%Insects%Qing dynasty (1644 - 1911)%Ming dynasty (1368 - 1644)%Bamboo%Tapestries%Slit tapestry%,bird,Ming or Qing dynasty
Tapestry: birds% peach-tree% rocks% and flowers on a blue ground,edanmdm-fsg_F1916.71,https://asia.si.edu/object/F1916.71/,No,Chinese,Furniture and Furnishing%Costume and Textile%,silk,color,Hanging scroll; color on silk panel,1644-1911,China,https://asia.si.edu/object/F1916.71/,Art%Garden rock%Chinese Art%Peach%Birds%Flowers%Fungus-of-immortality%Painted%Animals%Kesi%Qing dynasty (1644 - 1911)%Tapestries%Slit tapestry%,bird,Qing dynasty
Tapestry: doves bathing in a bowl; rocks and bamboos,edanmdm-fsg_F1916.105,https://asia.si.edu/object/F1916.105/,No,Chinese,Furniture and Furnishing%Costume and Textile%,silk,color,Hanging scroll; color on silk panel,1368-1644,China,https://asia.si.edu/object/F1916.105/,Art%Animals%Chinese Art%Birds%Rocks%Dove%Ming dynasty (1368 - 1644)%Bathing%Bamboo%Tapestries%Painted%Slit tapestry%,bird,Possibly Ming dynasty
Kesi tapestry of two birds and a flowering tree,edanmdm-fsg_F1917.197,https://asia.si.edu/object/F1917.197/,No,Chinese,Furniture and Furnishing%Costume and Textile%,silk,color,Polychrome silk with painted details,16th-18th century,China,https://asia.si.edu/object/F1917.197/,Trees%Art%Garden rock%Chinese Art%Birds%Flowers%Fungus-of-immortality%Animals%Peony%Qing dynasty (1644 - 1911)%Ming dynasty (1368 - 1644)%Tapestries%Slit tapestry%,bird,Mid-Ming to Qing dynasty
Tapestry of flowers% a rock% birds% and butterflies,edanmdm-fsg_F1918.10,https://asia.si.edu/object/F1918.10/,No,Chinese,Costume and Textile%,silk,color,Color on silk,1644-1911,China,https://asia.si.edu/object/F1918.10/,Art%Chinese Art%Orchids%Birds%Flowers%Butterflies%Animals%Insects%Qing dynasty (1644 - 1911)%Rocks%Ming dynasty (1368 - 1644)%Tapestries%Slit tapestry%,"bird, butterfly",Qing dynasty
Box and cover,edanmdm-fsg_F1930.53a-b,https://asia.si.edu/object/F1930.53a-b/,No,Chinese,Metalwork%Container%,silver,silver with gilding,Silver with gilding,first half of the 8th century,China,https://asia.si.edu/object/F1930.53a-b/,Art%Engraving%Animals%Sculpture%Punching%Chinese Art%Birds%Phoenix%Tang dynasty (618 - 907)%Ducks%,"bird, phoenix,duck",Tang dynasty
